"SYMBOL","log2FC","pVal","pAdj","sdSF","sdGC","sTat"
"ANAC001",0.810619892205515,0.109625735488813,0.640220177337765,105.01758,63.77196,1.59987761798048
"ARV1",0.0202332609176627,0.921853554999447,1,52.28069,16.24065,0.0980991594131156
"NGA3",0.334173430442636,0.486119823027149,0.900756568579984,46.15111,21.38086,0.696493505574964
"ASU1",0.00698668711340147,0.983022916310223,1,61.419863,49.443166,0.0212792247810588
"ATPPA1",-0.160299444119799,0.401069619151806,0.865710586364728,388.1852,512.3913,-0.839712472405364
"LHY",-0.170690771815473,0.831213480168105,0.991648473068057,13.924338,3.237863,-0.21314549476668
"UMAMIT28",0.831946826840299,0.20567158328529,0.75319497352285,230.7678,130.7243,1.265557407134
"PDH-E1",-0.347430368309172,0.23656816288103,0.776507711172454,488.1421,489.2098,-1.18360827583023
"RPP1.1",-0.481563427131201,0.0178331470445475,0.38847679547676,717.33558,777.77918,-2.3690644195358
"IQD18",0.0782556630866671,0.798058600926467,0.985321960360701,38.6368,143.86523,0.255860441825039
"KCS1",0.968571139210613,0.282516843121902,0.809598027121144,8.991251,9.09989,1.07468262996337
"CIPK9",0.316758537744622,0.681556965929552,0.960714226586327,58.29832,30.581261,0.410339437560663
"GIF2",-0.0294310293104805,0.879712827550742,1,59.28238,125.98353,-0.151333267823039
"CYP78A8",0.0553906978278562,0.980928421501679,1,2.6607286,2.4142062,0.0239049554931664
"ATRAB-A3",0.0196454598881024,0.980200255828174,1,10.396147,19.76447,0.0248178467079249
"ATFKGP",0.627866228386237,0.0822282760632306,0.607100750428296,4.790234,32.427211,1.73790090580986
"ATORM1",0.152768915283135,0.409294960163274,0.870169212465476,48.31144,42.03903,0.825134983846184
"BHLH013",-0.122621896316676,0.732257068752497,0.970821239993599,29.944599,52.786372,-0.342124674968428
"CNX3",-0.0539944225026077,0.833243038285598,0.991648473068057,131.67995,109.9932,-0.210544097205875
"REC1",0.0673542210302195,0.861504719931216,0.997446640385428,42.3204,20.61649,0.174459038082514
"ACBK1",0.54406568897086,0.606791779343663,0.942523168891464,27.358078,21.88511,0.514658355065797
"PYL9",0.315466369297778,0.299847737513315,0.817159006394354,128.28282,155.3085,1.03675996579179
"CENH3",-0.295013119873621,0.382156097623607,0.859533286127638,12.1903,47.04905,-0.873930510986636
"ETC1",0.233203837946188,0.790708033009035,0.983349625548813,43.894656,48.920645,0.265391305889762
"MOAT3",0.0182146862582625,0.956756645930967,1,89.74695,127.71149,0.0542240673321047
"ATLEA14",-1.05673010663187,0.135124084049212,0.678853354196601,27.74462,64.2445,-1.49419720075402
"ACS2",2.17526880388202,0.120236773199287,0.65806554854346,12.090305,5.844407,1.55378054300753
