"SYMBOL","log2FC","pVal","pAdj","sdSF","sdGC","sTat"
"ANAC001",-0.0418902165099118,0.765322531458558,0.879229438493466,166.74023,49.30889,-0.298498748105024
"ARV1",-0.0162944178623545,0.930370781982187,0.970841300608358,17.849755,14.085767,-0.0873783446705211
"NGA3",0.816199698611837,0.0229630269767754,0.0948085194184168,48.68129,43.59635,2.2740492259803
"ASU1",-0.0488857084854694,0.691515130606151,0.830366162774419,96.63532,116.95127,-0.396799756092465
"ATPPA1",-0.152911766768275,0.0752684335699678,0.211545939764847,74.38329,73.96697,-1.77882514383939
"LHY",0.163627542268183,0.326369059617331,0.540725744904502,66.33709,58.69832,0.981453692437309
"UMAMIT28",-0.716361669282024,0.00133011094775169,0.0116415919918022,38.4334,45.6172,-3.20940261796332
"PDH-E1",0.247957598505716,0.0337912245618365,0.123490269562431,341.99806,209.34441,2.12255422102453
"RPP1.1",-0.0603588245033201,0.652907736614991,0.806356663216606,259.6206,299.6699,-0.449726395087413
"IQD18",-0.284672858564862,0.162123686676594,0.349411206310548,32.13841,20.620797,-1.39796463722911
"KCS1",0.216531708571372,0.129198378299518,0.30155824429513,265.0623,513.145,1.51727059812868
"CIPK9",0.113525744089231,0.342310116525686,0.556038331490383,107.19245,62.66284,0.949610666655437
"GIF2",0.0427061446072043,0.681910788058717,0.824304205509351,122.90856,22.82726,0.409857084672415
"CYP78A8",-1.41991857159637,2.14257251151042e-06,7.56106666216281e-05,23.166353,61.258718,-4.73948958129355
"ATRAB-A3",0.179408130967768,0.557681173950084,0.74041744371823,28.408215,8.804191,0.58628922007417
"ATFKGP",0.297648666876317,0.00329566320213582,0.0230010208532581,43.74815,14.40178,2.9387240861994
"ATORM1",-0.154508023405853,0.196623969867297,0.394778594241222,104.27974,52.2519,-1.29122990031043
"BHLH013",0.309878392084074,0.00193596901172905,0.0154292020776986,86.45151,29.26052,3.0998833043162
"CYP703",1.0881898172312,0.375603266564594,0.587702621632276,8.9253231,2.8766791,0.886026464504798
"CNX3",-0.0851245756632029,0.624945016161575,0.786676762677944,62.55598,21.23178,-0.488854068046615
"REC1",1.20054178005289,1.23284345604556e-05,0.000308134605653284,2184.463,889.8776,4.37169734538905
"ACBK1",-0.550196426778175,0.00149749120035449,0.0126985577689382,46.3462,34.70061,-3.17516926793466
"PYL9",-0.0270929124855665,0.879058527114272,0.945031094359934,106.57901,73.82193,-0.152162808165508
"CENH3",-0.410608760062132,0.221596313491865,0.425192779917994,10.468961,10.970866,-1.22229440717018
"ETC1",0.0493059446997779,0.895180349438031,0.952919015591732,17.826041,6.934293,0.131752132097696
"UGT72B3",0.00559952436783179,0.986489782364728,0.998724612003611,10.121876,12.217752,0.0169333559666639
"MOAT3",-0.0226380075140139,0.848808202585427,0.929665391593828,147.25195,46.91774,-0.190639293986549
"ATPIPK11",1.07346530581616,0.337987497133172,0.55172864155279,13.576512,1.412849,0.958149263407956
"ATLEA14",0.695808094921619,1.91606113748534e-06,6.94586425077955e-05,250.72899,99.87967,4.76208165874403
"ACS2",0.185280930813454,0.507590280667822,0.702697695554973,20.352512,28.274607,0.662594520237997
"AN",0.0106133250758595,0.93674667610399,0.973557642204499,208.72872,126.45595,0.0793595065570632
"ASG4",-0.288207247343722,0.713951764901137,0.845212622984566,99.53612,83.650606,-0.366553947719741
"BPS1",-0.313334100339956,6.77529014237702e-05,0.00112944135011299,727.2425,494.1045,-3.98404196023201
"ATMPK11",-0.553523609379822,0.0726653313859532,0.206529694504226,11.320419,11.843757,-1.79492700062114
"ATFRO2",-1.85586283099023,4.17729881596429e-06,0.000126434996871708,15.468227,56.058134,-4.60236023346842
"ATFRO1",2.15946314194277,0.0796774474413984,0.220011393595588,4.1091123,0.6898232,1.75256066896183
"CYP86A4",0.603493654170375,0.0335767345771739,0.123055972408287,52.89307,39.16895,2.12511840039773
"ATGPAT4",0.114721656135412,0.570170336699098,0.748983500230214,249.1999,185.6785,0.567800652533591
"PIP1;3",0.226940059982478,0.334326364642294,0.548702518510376,3197.289,2672.346,0.96543622511152
"ATSPPL4",0.429841414030156,0.00436482867482396,0.0282565838164037,209.10087,109.99212,2.85051649199539
"ATPUB54",0.888223100314303,0.459748053827363,0.661290069636107,1.4944164,0.7191438,0.739261778200976
"ATPRD3",-0.219831088294019,0.316638263730156,0.531108576698635,12.216607,16.193532,-1.00139006834723
"TRM33",0.359803865507937,0.656925388976723,0.809309947309462,2.701113,1.765264,0.444162103335241
"ATROPGEF2",0.273469712700681,0.467804920902189,0.668442417772892,6.368483,3.309343,0.726055217397647
"ANAC002",1.00347258886977,4.06009642359825e-05,0.000772429698969875,1840.9859,428.9268,4.10403292537375
"BSK4",1.51983704247534,1.17066823220026e-05,0.000295275078162705,127.43461,33.06235,4.38298007545027
"ADF11",0.110787934941714,0.763082280602645,0.877905356554001,58.78419,18.62543,0.3014356924287
"ATTAD1",0.281125888321485,0.205097460621757,0.405412379560853,29.43332,17.37254,1.26716174699619
"PLIM2B",-0.0338834313249554,0.791516555144216,0.893604645157365,86.53072,80.29337,-0.264341798062601
"ATKEA1",0.946142483648235,0.000336905660498266,0.00404353506590098,260.80966,73.9494,3.58513362595091
"PEX11C",-0.169162735826057,0.15231598831504,0.335230939667783,207.72887,131.98056,-1.43139867367593
"PFC1",0.395521031145275,0.0285670090574259,0.109567879700717,45.40501,21.93955,2.18941061173292
"ATGEN1",0.304386597846839,0.336574036608604,0.550563453447068,11.733469,4.529257,0.960956507407385
"ATSBT1.1",0.252997932680714,0.28560092435662,0.498531846072567,41.716182,30.368423,1.06782175151438
"ATGET3A",0.105534974343465,0.250548551056403,0.460264131466541,85.67403,44.39343,1.14901801806353
"ARK2",0.00902742020389274,0.920358088017005,0.965477975244873,79.56321,29.68619,0.0999826647300515
"BIG3",0.104763100097684,0.125110099723288,0.295947824928422,309.1444,259.5885,1.5336730796817
"ATBBE1",-0.910570415198158,0.231744462357283,0.43774154619322,3.264421,10.268574,-1.19587725487246
"GAE2",0.0232481801016605,0.896462920706807,0.953657176376298,102.46627,76.73149,0.130130827451049
"SEC1A",0.207657415930328,0.267751927983355,0.479403736001864,25.05789,22.39381,1.10825448076297
"LAP6",0.297248028303651,0.0468060296345525,0.153533403120023,33.39454,19.90885,1.98805118251116
"SPL8",2.01924334746759,0.0013052662233234,0.0114448008384277,49.3521846,7.8057717,3.21481938231617
"NOT1",0.0425857242985548,0.665841878951528,0.815393081602162,498.0216,588.069,0.43186177390446
"ATCSN7",0.0533847210978229,0.708212864784215,0.841868727326723,82.37758,28.78612,0.374257343421244
"LCMT1",-0.103651492721638,0.324908640945517,0.539231439435993,152.25224,91.4864,-0.984420828949465
"VAD1",0.0960283463024623,0.394983457876021,0.60518433173708,291.41622,121.86781,0.85061463348476
"ARA-5",-0.244992745294986,0.076112005180332,0.213201554430037,158.25043,87.82493,-1.77370472075529
"HAP1",0.0158077003997272,0.896610568161313,0.95377239324746,419.07207,135.3608,0.129944207612246
"ALG12",0.0453727525494885,0.77997283249292,0.887652506734186,71.15265,24.45918,0.279354438543658
"ATMC1",0.0219954831294033,0.880159552433862,0.945607914083425,56.74164,85.9099,0.15076695740757
"CER1-L1",1.81616682842779,0.000371072367627322,0.00436288966089079,26.993468,5.722295,3.55984597732563
"CER1",0.418387283893169,0.0476136173020422,0.155342049115351,240.7012,137.9754,1.98080079795484
"ANAC003",-0.428175121118935,0.238847411740263,0.446471116501989,15.574443,8.933696,-1.17787257051822
"ANAC004",1.17906138996058,0.0122506495473473,0.0600289492606552,83.868886,9.350499,2.50484087229285
"ANAC005",-0.0790053645175482,0.941849554182595,0.975987373551156,4.1484525,1.2628975,-0.0729454150673671
"ATTOC33",0.549002705557824,0.00026604394558201,0.00333331752800529,290.13376,97.11239,3.64629943732889
