	logFC	AveExpr	t	P.Value	adj.P.Val	B
YJR047C	4.58635783406821	12.4033971945146	27.4289771527648	5.40441719567213e-08	1.25606109995966e-05	9.31416570870477
YGL184C	3.76523706541014	7.8544433236818	26.9988891533261	5.98757802653956e-08	1.34520919662922e-05	9.22536831395576
YMR107W	6.17186629894978	8.10440266458679	26.0569181654974	7.53715825200264e-08	1.59253049098676e-05	9.0234564606035
YMR175W	6.02071227010397	7.61316803901296	26.0442328732872	7.56097562486298e-08	1.59253049098676e-05	9.02066538193336
YOR248W	-3.65196558133433	8.12748110292377	-25.8231198577982	7.99037887088472e-08	1.59392912343918e-05	8.97169882946718
YJR151C	5.12795189930793	8.73645696689704	25.7981602226992	8.04059201734896e-08	1.59392912343918e-05	8.96613358796322
YER011W	3.41890683946245	13.8572978783424	25.6510505972164	8.34403351229597e-08	1.59412607085749e-05	8.93317525542445
YNR034w-a	3.94559375370814	9.14397181100725	25.571029953874	8.51461996303703e-08	1.59412607085749e-05	8.91513380101053
YMR174C	4.13593060424127	8.44454094977355	25.1110736622111	9.57669230232246e-08	1.74451097615279e-05	8.80985155542059
YAR020C	6.84327547334794	9.0579836618977	24.9046649905889	1.01023849049252e-07	1.79184405945252e-05	8.76171354091467
YGR294W	7.30552148103802	10.7667226356908	24.561580973368	1.10514911682199e-07	1.90992437112312e-05	8.68044646556332
YBL002W	-3.48709399039833	10.2270220605192	-24.3798151109318	1.15957437654339e-07	1.95388282447561e-05	8.6367446146217
YER037W	3.59444151780655	8.74318130601811	24.0807450622877	1.25598509670053e-07	2.04446184862565e-05	8.56384387279319
YNL289W	-3.93138255598093	5.99160313602483	-23.9377147412516	1.30533679983183e-07	2.04446184862565e-05	8.52853417944509
YIL011W	4.39465505703256	12.0264275077615	23.8084331544134	1.35187424056229e-07	2.04446184862565e-05	8.49636720560828
YKL163W	4.86714562757443	8.30458356027268	23.7792289301101	1.36264968754159e-07	2.04446184862565e-05	8.48906749143641
YFL020C	7.44604146074264	10.0140410358388	23.7729029649062	1.36499678320704e-07	2.04446184862565e-05	8.48748466593751
YER070W	-3.72304760875518	8.87490655378368	-23.4135550260856	1.50629956426127e-07	2.20705631806978e-05	8.39661195632356
YPL095C	4.00107347183045	7.78212909737357	22.5884203790825	1.89944209449318e-07	2.72388079082638e-05	8.18057851316265
YMR196W	3.26918197605202	8.87301887507768	22.3778780773888	2.01790525748105e-07	2.83347529904631e-05	8.12374748859035
YGL156W	3.69329511669293	9.51463512006454	22.0468131804531	2.2218193765801e-07	3.05613522411222e-05	8.03292653979076
YMR215W	-3.38850852835743	9.33094171931926	-21.4537567632161	2.64946504417253e-07	3.56641552480198e-05	7.86563464979621
YML058w-a	4.97488427873242	10.2174922082849	21.3735943142955	2.71424833825093e-07	3.56641552480198e-05	7.84255625428568
YOL053C-A	4.04786760293722	12.0899748960742	21.2790553800804	2.79300641228673e-07	3.56641552480198e-05	7.81519323285367
YBL075C	3.80573004255223	8.48616014946576	21.2655728200833	2.80445137706981e-07	3.56641552480198e-05	7.81127796967768
YJL079C	3.86519892768234	12.0848948368873	21.0282957293495	3.01497711673738e-07	3.7631381049648e-05	7.74184095675532
YGR032W	4.01761160816481	10.1879984535679	20.9344861422973	3.10318737172981e-07	3.80281507008343e-05	7.71410739560534
YGR144W	3.01483008718523	8.84917389124068	20.8102054764897	3.22466383241666e-07	3.84280388950495e-05	7.67711695608958
YBLWDELTA6	4.51875718385723	7.08908280754849	20.7851132545664	3.24984898667332e-07	3.84280388950495e-05	7.66961399032009
YOR173W	3.28793076791189	8.41869109581169	20.4621763726463	3.59505445407567e-07	4.17770121042586e-05	7.57199851179843
YMR305C	-3.96210520276814	9.5854486466068	-20.3659662010748	3.7059308397601e-07	4.20610370741371e-05	7.54253410334527
YEL040W	-4.89779930223043	9.98354604624448	-20.3334364915854	3.74430597099144e-07	4.20610370741371e-05	7.53253160178371
YJL017W	3.43610296295552	8.11034024142833	20.2325543874315	3.866256779661e-07	4.23555269007876e-05	7.50138125936023
YDR213W	3.84719675792942	8.13695916326902	20.2083390820175	3.89620573864812e-07	4.23555269007876e-05	7.49387460246336
YDR223W	4.35477537729394	6.7768276326561	20.0592428969622	4.08659789681507e-07	4.3720110832593e-05	7.44740192599886
YOR031W	2.86223679058145	8.38629639012392	19.8309575882576	4.39925081439123e-07	4.63296101390576e-05	7.37539117922348
YJR156C	4.30110778109063	7.88943416665387	19.6468235871231	4.6715956682123e-07	4.84408535442322e-05	7.31654085543889
YIL176C	6.4000239142974	11.0829455040413	19.5961862151723	4.74985911810672e-07	4.8506137054605e-05	7.30023511108828
YMR199W	-3.47456028169962	6.9575929354773	-19.4548715929424	4.97637635807474e-07	4.98620037926978e-05	7.25444937608184
YMR095C	3.4257253014439	7.73696229792146	19.4221476509508	5.03058791973806e-07	4.98620037926978e-05	7.24378745690458
YNR009W	-3.41121540675597	5.87673581431522	-19.2895260555972	5.2573642920113e-07	5.13545439538495e-05	7.20034655543419
YJR150C	8.30881735388106	10.3700791361713	19.1520330540505	5.5049835836527e-07	5.27212553056999e-05	7.15491518544249
YLR307W	4.98257939032715	2.87826442267891	19.1033664842098	5.59582649828549e-07	5.27212553056999e-05	7.1387371719678
YNL058C	-4.3288266637854	7.06686525699966	-19.0842694182866	5.63194418695904e-07	5.27212553056999e-05	7.13237483405648
YMR058W	-2.72677757915382	11.307859560309	-19.0183610415352	5.75867120541592e-07	5.31691012664429e-05	7.11035614061048
TA(AGC)P	-2.8066845523676	7.97151610698363	-18.9190035868206	5.95596652469876e-07	5.40959500002741e-05	7.07698353494377
YGR213C	4.11018161382986	7.72082616303321	18.8877735018284	6.01957900596522e-07	5.40959500002741e-05	7.06644904827968
YBL106C	3.96714407628555	8.2620815425997	18.7601726604813	6.28774143302369e-07	5.54947892150586e-05	7.02318249057339
YGL089C	-5.6529162456608	9.95203170138786	-18.7360771362513	6.33990915364913e-07	5.54947892150586e-05	7.01497153099304
YNL094W	2.72921613986968	7.65226347860259	18.6453735603949	6.54080171112113e-07	5.65192352986621e-05	6.98394586535374
YOR074C	-2.7047092678195	6.76415723502686	-18.5819906261236	6.68553369488836e-07	5.70386039285412e-05	6.96215512420262
YMR096W	3.57055979603491	9.08335122798328	18.3086221851962	7.35349411567731e-07	6.13649151064123e-05	6.86711873763522
YLR178C	3.07650922813928	11.0183341951383	18.3004107695887	7.37471531694272e-07	6.13649151064123e-05	6.86423728219085
YER069W	2.61865936605725	9.12534046062398	18.1217079560267	7.85446803499048e-07	6.45598957997998e-05	6.80113651532015
YNL173C	-5.01100171763721	5.02860470112183	-17.965454177056	8.3035586453466e-07	6.74288979152242e-05	6.74534072906173
YGR108W	-3.31098300957199	6.36372038716287	-17.8084177459462	8.7849189068549e-07	6.94134461309225e-05	6.68867134702282
YNL146W	-2.88993361279846	3.9322004028576	-17.7858243515871	8.85678219307353e-07	6.94134461309225e-05	6.68046856074489
YDL223C	3.21397548867786	8.58501366043577	17.7857848095192	8.85690855676459e-07	6.94134461309225e-05	6.68045419355772
YIR017C	3.31156233117015	6.90048692444474	17.7442812706023	8.99069134205454e-07	6.96520225809742e-05	6.6653531006003
YOR342C	-3.20761901880215	7.94005890916331	-17.5225197163488	9.74614724015033e-07	7.46466277256968e-05	6.58393987914672
YOR034C	4.13125136775701	8.48473988715121	17.3477602793366	1.03931806679459e-06	7.80478891191502e-05	6.51890862244104
YLR311C	3.25847242234238	3.38972381576501	17.3403149470628	1.04218249565631e-06	7.80478891191502e-05	6.51612074011568
YPLCTAU1	4.23500154709978	8.86650409049949	17.2261582130725	1.08725889803124e-06	8.05288458541822e-05	6.47319590779353
YPR160W	3.9083002885964	8.97365856168433	17.1375520377324	1.12379551013823e-06	8.23302362862138e-05	6.43964492730169
YER024W	2.54671340336592	7.34362591612882	16.9744603321841	1.19480197193389e-06	8.63282368521436e-05	6.37734932110852
YDR490C	2.63711271022551	9.04004964577149	16.9541862711343	1.20398431218123e-06	8.63282368521436e-05	6.36955589615012
YNL052W	-2.42985672844874	7.9123588150953	-16.9216591568025	1.21888627343604e-06	8.6476773504831e-05	6.35702935430386
YFL043C	2.4040729131115	8.56537198551732	16.8857030117535	1.23560663471762e-06	8.6749882479133e-05	6.3431491817284
YGR043C	4.20269726080971	8.35169887707309	16.8226823405285	1.26555302470171e-06	8.75559995018905e-05	6.31873710716759
YPL019C	-2.30010145517469	8.96992934167659	-16.7858481745855	1.28344220468122e-06	8.75559995018905e-05	6.30441893233637
YBR085c-a	2.89184259099754	10.6934226314514	16.7583563037187	1.29698374718788e-06	8.75559995018905e-05	6.29370821087536
YDR222W	-2.59496711977156	6.48099303208811	-16.7541895758237	1.29905043771351e-06	8.75559995018905e-05	6.29208306984056
YGR131W	4.6813843783741	9.77100559313492	16.6567674981662	1.34846814019052e-06	8.99868838107337e-05	6.25395000217083
YLR273C	2.36257478807646	6.51660426330169	16.477588162261	1.44511299947193e-06	9.54908001611846e-05	6.1831289946381
YBR088C	-3.82133848547679	7.68307591904237	-16.4262099375953	1.47427811424872e-06	9.64721795149162e-05	6.16265566659376
YLL064C	7.0153004649229	10.1693522825806	16.3160550583514	1.53911901964474e-06	9.79936363724205e-05	6.11850850226189
TT(AGU)J	-2.59301858314581	4.61097618192313	-16.3018155927229	1.54773782590474e-06	9.79936363724205e-05	6.11277642024083
YLR092W	2.86159084277215	7.67620128864321	16.2708679684486	1.56666174347636e-06	9.79936363724205e-05	6.10029841612175
YDR070C	4.96600600981423	8.62674412039522	16.2576998130106	1.5747944153729e-06	9.79936363724205e-05	6.09498069411238
YPL273W	-2.83775619928423	9.02148783942035	-16.2540079464691	1.57708322203348e-06	9.79936363724205e-05	6.09348890365669
YDL038C	2.84741802241311	10.5069510830008	16.2313083875055	1.59124036555691e-06	9.79936363724205e-05	6.08430793943526
YMR181C	2.45638728464154	8.54179063021283	16.2184848125288	1.59930267076651e-06	9.79936363724205e-05	6.07911479095867
SNR63	-2.23851364098917	6.35548437907001	-16.1887937125544	1.61815066485868e-06	9.82552746049324e-05	6.06707253955165
YGR087C	3.1793390782051	6.18854213695527	16.0899314193476	1.68277492913704e-06	0.000101266991271283	6.02679052459913
YKL127W	-2.63354395907011	8.92936015604132	-15.8437637551623	1.85699994590392e-06	0.000110762651640641	5.92523475448021
YDR381W	-2.36164838623889	11.3432430338731	-15.6865899014152	1.97908034705981e-06	0.000117008785431431	5.85944029054581
YGL063W	2.79606328791157	6.81942317279296	15.6299079223175	2.02535144134169e-06	0.000117996172243977	5.83552737223711
YLR327C	3.17292785233079	8.97743621418259	15.6233379804337	2.03079465583105e-06	0.000117996172243977	5.83274924907917
YMR032W	-2.7185631969921	6.79779330993419	-15.5802718084922	2.06689433958837e-06	0.000119067246571159	5.81450548931048
YPL014W	-2.61667272475291	7.83182163779997	-15.5566655186923	2.0869947303298e-06	0.000119206309173075	5.80448093536649
YER095W	-2.46270161336656	8.86044494252259	-15.5256213944696	2.11377129839422e-06	0.000119721164295605	5.7912714399915
YJR048W	-5.36470302284742	5.47670433496422	-15.4694687210143	2.1632143582752e-06	0.000121500539789791	5.76730151312137
YBR056w-a	2.27867720400709	9.85868911459869	15.3876439154334	2.23766121521394e-06	0.000123877471983983	5.73219523823535
YPL267W	-2.6069044907025	5.70131980383635	-15.3826573520474	2.24229251959139e-06	0.000123877471983983	5.73004894425219
YPL127C	-2.69333120113556	8.08591425156116	-15.3083223526037	2.31265470106329e-06	0.000124673580984969	5.69796015166555
YGR266W	-2.53619995261145	6.36226125988596	-15.2956242116698	2.32492631098443e-06	0.000124673580984969	5.692460988637
YBL049W	4.43645764340393	7.87335694016083	15.2830602126768	2.3371419981503e-06	0.000124673580984969	5.68701482914513
YMR105C	2.53133408396661	9.92061458372097	15.2787099121328	2.34138887596465e-06	0.000124673580984969	5.68512790838648
YHR138C	2.23881330163815	11.3108006796399	15.2645144415678	2.35530868368233e-06	0.000124673580984969	5.67896646420402
YJLWTAU2	3.88737053060283	8.54644905557767	15.2519705503766	2.36768818487776e-06	0.000124673580984969	5.67351647960259
YGRCDELTA25	5.21936152287332	5.08461204490837	15.2197669237125	2.39981369248173e-06	0.000125385614630441	5.6595016285321
YBL048W	4.36361126715315	7.08737254564703	15.1924499307046	2.42745756116589e-06	0.000125500317475656	5.64758712325749
YPR167C	2.63918885835054	7.84297524596617	15.1809060089182	2.43924949396305e-06	0.000125500317475656	5.64254488396342
YNL014W	3.43270246359635	7.57327540235905	15.1037041789023	2.51982386156086e-06	0.000128663733537274	5.60871251691818
YOL058W	2.19234520483584	9.36114525851517	15.0651320625066	2.56122435027915e-06	0.000128955820865604	5.59173587019827
YBR295W	2.59936574720218	8.41272891252219	15.0627467858345	2.56381008842596e-06	0.000128955820865604	5.59068443839132
YML128C	2.19724920449429	9.15189520265722	14.9596733166608	2.67846575659025e-06	0.000133123892453513	5.54506987791859
YOR247W	-2.4142413746281	11.7262078933111	-14.9529216368789	2.6861794322964e-06	0.000133123892453513	5.54206965041329
YJL217W	-2.90639467076234	10.1720158754668	-14.9028805572379	2.7441529652795e-06	0.000134154948253247	5.51978554070414
YIL160C	2.70801123653577	6.62726730120365	14.9006309909203	2.74679270904273e-06	0.000134154948253247	5.51878180249564
YOL155C	2.35324316571528	10.8144381510774	14.7784820012871	2.89460825098614e-06	0.000139585941006639	5.46402376171972
YJR116W	2.87188719658056	9.786315892203	14.7746339792435	2.89941123752663e-06	0.000139585941006639	5.46229052190269
YCR007C	2.21882050350704	6.03092363130978	14.6698738588149	3.03375599899809e-06	0.000145017839952107	5.41490959007665
YKR049C	2.19018110145191	10.164365499899	14.6457001855907	3.06576354511692e-06	0.000145510153824902	5.40392275564188
YLR054C	3.03769218947934	7.44802527499609	14.6296471382841	3.08723323397047e-06	0.000145510153824902	5.39661555191982
YPL208W	-3.04419348786151	6.36583207719352	-14.5656444990966	3.17456653488394e-06	0.000147729707459618	5.36739320831087
YIL013C	2.72373233535897	7.07961541062258	14.5630534967122	3.1781613622618e-06	0.000147729707459618	5.36620720372206
YOL002C	2.51927284706411	11.2926811690299	14.5247970813358	3.23178746737614e-06	0.000149193476233666	5.34866840585264
YJL016W	2.89586390580916	10.2013780048273	14.4981916649336	3.26969479477562e-06	0.000149220467899068	5.33644080347153
YGLWTAU1	4.56301473842057	8.25810646814405	14.4736624972983	3.30509709034185e-06	0.000149220467899068	5.32514536169216
YBR038W	-2.41464246260876	7.17191348654986	-14.4648761862495	3.31788511376691e-06	0.000149220467899068	5.32109418993553
YLR214W	-2.03919680995414	8.06804562181487	-14.448596532646	3.34172984933908e-06	0.000149220467899068	5.31358079582774
YHR176W	2.30508053282417	6.86844545897744	14.4476856434762	3.34306982978624e-06	0.000149220467899068	5.31316012485433
YPL241C	-3.03384000422472	5.97810178084563	-14.3407376136577	3.5047770021696e-06	0.000155197743103807	5.26356387844648
YLR256W	2.01672442615951	9.03770040534944	14.3290196701397	3.52303482119918e-06	0.000155197743103807	5.25810494856766
YPL070W	2.21784745115896	9.13021797689722	14.2517607997091	3.64618446729151e-06	0.000159317750818343	5.22198934545884
YPL071C	2.63237462263408	9.24982998610643	14.2409332325697	3.66383551585211e-06	0.000159317750818343	5.21691063144688
TA(AGC)K1	-2.8267453586384	7.70014662774705	-14.1764187787495	3.77106423649484e-06	0.000162390825100919	5.18656148951136
YJL116C	4.21699458952794	9.97348651839404	14.1674622987704	3.7862338262333e-06	0.000162390825100919	5.18233614178835
YPLCTY4-1	5.42889350605559	9.09634740045279	14.1427257692075	3.82849555263747e-06	0.000162390825100919	5.17065106378596
YER018C	2.01355040442444	9.60860183340638	14.1413386070147	3.83088148235107e-06	0.000162390825100919	5.16999512938974
YMR321C	-2.14978525284427	10.4047129228456	-14.0637333359122	3.96712481295316e-06	0.000167115132745652	5.133185734467
YPL088W	2.45759526125594	8.97675426347199	14.011841614613	4.0613312054455e-06	0.000169471156470495	5.10844824208902
YPL277C	2.63209882233363	6.63585454032591	14.0051405370135	4.07368295037275e-06	0.000169471156470495	5.10524643576572
YPL053C	-2.01413956104874	8.58642554901666	-13.9917543467104	4.09848642502829e-06	0.000169471156470495	5.09884542959273
YML100W	2.16271073360871	10.104409227775	13.9356651756184	4.20431864275522e-06	0.000172636875702014	5.07195171862155
YHR048W	2.69359261281133	8.03514144891908	13.9098675381469	4.25404661654799e-06	0.000172636875702014	5.05954250420728
YPLCTAU2	4.58787619868593	8.35102488894988	13.9020720822306	4.26920594020482e-06	0.000172636875702014	5.05578778042865
SNR3	-2.81990657305373	5.52670093058837	-13.8797110257052	4.31303546425227e-06	0.000172636875702014	5.04500469810494
YJL088W	2.23274528022533	5.7347223661244	13.8776346114726	4.31713156552666e-06	0.000172636875702014	5.04400243595577
YIL158W	-4.32440413687168	6.2316805977006	-13.8717679478429	4.32872878243922e-06	0.000172636875702014	5.04116977852575
YKL001C	3.60531949820129	8.98698682641522	13.8412899098741	4.38955657481828e-06	0.000174033007731031	5.0264327313197
YDR451C	-2.71647768444109	5.91704488997977	-13.8270023325424	4.41840917040932e-06	0.000174152501804437	5.01951208224791
YGR256W	3.23780932979119	7.56477978646963	13.7739706357357	4.52742354079472e-06	0.000175897686737937	4.99375623024832
YKL081W	-2.4656999839106	10.190279897634	-13.7708190433124	4.53399872565009e-06	0.000175897686737937	4.99222220512299
YNR002C	3.07756777489926	6.38870910113446	13.7674790922735	4.54097885643932e-06	0.000175897686737937	4.9905960805367
YOR328W	2.14405704396325	10.2684339359254	13.6733151983264	4.74294406951806e-06	0.000181640542937402	4.94457325680835
YLL057C	3.22582846343389	4.23383941890365	13.6732279895759	4.74313583931495e-06	0.000181640542937402	4.94453047407017
YDR309C	-3.12016191056807	8.51048776188668	-13.6014222677105	4.90410066084044e-06	0.000186743720079461	4.90920341567059
YJR039W	2.77057458374823	6.33429759091123	13.5711982410373	4.97372241913296e-06	0.000188330837668293	4.89427334621735
YPL144W	-2.06146062407824	9.16790459081558	-13.4522361815067	5.25900443674246e-06	0.000198020613986839	4.83515749640558
YDL234C	1.94290945989123	8.38765955260876	13.3898564559527	5.41608192638195e-06	0.000202802178798969	4.8039334317627
YLR156W	2.53394348130843	6.53056318316595	13.3316808234894	5.56744491174428e-06	0.000207076479585119	4.77467237367506
YOL131W	2.99725466119662	2.84790693319174	13.3193181149985	5.60023294261396e-06	0.000207076479585119	4.76843653046741
YDR507C	-2.29394071832275	6.89080625558828	-13.2948944393098	5.66566255419571e-06	0.000207076479585119	4.75609876192944
YDR055W	2.12732296580884	11.1373998531147	13.2759232669736	5.71709121505953e-06	0.000207076479585119	4.7464985666371
YKR097W	2.79348558475442	9.08586657847588	13.2650201856002	5.74689066184485e-06	0.000207076479585119	4.74097449881461
YPR183W	-2.05655826529832	10.5643951761848	-13.2530512451337	5.77980876082913e-06	0.000207076479585119	4.73490480466839
YMR085W	4.24056407520214	4.77418934687623	13.2491939572629	5.79046351995172e-06	0.000207076479585119	4.73294744351215
YCL050C	-1.83794091955571	9.0282035306601	-13.2454112083632	5.80093429035977e-06	0.000207076479585119	4.73102731370693
YDL018C	-2.17040278129369	6.01079043189157	-13.2381265050291	5.82115988216031e-06	0.000207076479585119	4.72732793030566
YNL312W	-2.29334214439569	9.16454408092935	-13.2073135565141	5.90761068893826e-06	0.000207076479585119	4.71165607397389
YHLWTAU1	3.93156724058322	8.03544831025482	13.1978224437802	5.93453583927611e-06	0.000207076479585119	4.70682088863099
YFR030W	2.80630010668396	7.75432194696932	13.1955244289594	5.94107619980579e-06	0.000207076479585119	4.70564962054881
YBR244W	-2.50618220592152	6.44094887179696	-13.1758174580473	5.99750508710561e-06	0.000207076479585119	4.6955962682002
YER015W	2.10058513871008	6.34374861379982	13.1741502345252	6.00230717360042e-06	0.000207076479585119	4.69474500993222
YBR205W	-1.99279577392029	9.91433188323403	-13.1735482073121	6.00404227089722e-06	0.000207076479585119	4.69443759594339
YLR077W	2.02201229474284	8.58121479203495	13.1673952861741	6.02180860514591e-06	0.000207076479585119	4.69129485987458
YNLWTAU2	4.04778414777322	8.67133309130012	13.1121970368159	6.18391972332714e-06	0.000209668642947516	4.6630307980673
YFL063W	3.68754534354717	3.69959720913586	13.1006521731791	6.21845593482118e-06	0.000209668642947516	4.65710322986278
YOR237W	7.06469661642799	6.93613929734871	13.0912668374731	6.24669519052386e-06	0.000209668642947516	4.65228033629888
YMRWTAU2	4.06896725305603	8.42351942102557	13.0834647664228	6.27028270304232e-06	0.000209668642947516	4.64826823549878
YDL039C	2.2074714276681	11.0577979686331	13.080640212961	6.27884719384507e-06	0.000209668642947516	4.64681512115768
YJLWTAU1	4.39297120859296	7.97855335564223	13.0789964026247	6.28383766697302e-06	0.000209668642947516	4.64596929562906
YJLWTY4-1	3.94851942200259	9.23075641136779	13.0394771590427	6.40519648656316e-06	0.000212665144430718	4.62560042196623
YOR343C	2.23557190168066	7.84886444642582	12.9926408199232	6.55252435205658e-06	0.000216490265357163	4.60137489839538
YPR149W	-1.84664283763634	11.3908024258457	-12.9342754586108	6.74159359800978e-06	0.000219143530661146	4.57105582488755
YDL003W	-2.71936015895292	5.25876519274748	-12.9288577226275	6.75945926147066e-06	0.000219143530661146	4.56823410319578
YKL199C	2.14291335190303	7.60658597354264	12.9262883976832	6.76795092572016e-06	0.000219143530661146	4.56689548176258
YOL049W	-1.87626266486869	8.12215875266025	-12.9223871461141	6.78086805314169e-06	0.000219143530661146	4.56486238482153
YAL067C	4.64411805249182	6.11475942492699	12.9180082824819	6.7954002831127e-06	0.000219143530661146	4.56257960915327
YMR020W	2.18232744623329	9.20455841438012	12.8861962457308	6.90205538454446e-06	0.000220981018486323	4.54597076824541
YLL061W	2.300115309841	6.79854727587214	12.8815031711886	6.91795176566975e-06	0.000220981018486323	4.54351686671343
YOL101C	2.1190064903268	10.8492490858128	12.7922658906944	7.22836050093692e-06	0.000229807310265636	4.49667567752784
YKL096W	-4.96697967613764	9.90074186091011	-12.7793840356922	7.27447704772414e-06	0.000230187677472585	4.4898853665087
YOL128C	1.81462430775674	7.11511678151934	12.7678932310676	7.31589882061657e-06	0.000230416626406335	4.48382220106972
YMR034C	2.55366023227606	7.46390993750785	12.7436401345558	7.4042175933849e-06	0.000231608533020225	4.47100601860304
YBR029C	-1.96873558464644	8.39789752770759	-12.7359695679184	7.43240456674184e-06	0.000231608533020225	4.46694726148974
YBR099C	2.13025625744342	6.8515629015622	12.723519038108	7.47841902231409e-06	0.000231608533020225	4.46035376727037
YML127W	-1.75055565634897	8.996774749378	-12.7200774845376	7.49119587513487e-06	0.000231608533020225	4.45853000396534
YNL300W	-3.76655515120994	9.43671612650555	-12.7104115752724	7.52721500397795e-06	0.000231659493729732	4.45340501681778
YORWDELTA22	1.78691288451584	4.37382858489775	12.6829981668457	7.63045465264194e-06	0.000233769383449121	4.43884769197801
YDR186C	2.10519851135042	6.85977648065931	12.6447302668662	7.7773020442348e-06	0.000237190116643179	4.41847076527812
YKL128C	-1.93972892635921	9.98284571894023	-12.6344629856698	7.81725124056864e-06	0.000237334564691138	4.41299258396032
YML002W	1.81138958363746	6.9465831933614	12.6100866415378	7.91304453655197e-06	0.000238941214550395	4.39996762498022
YBL086C	-3.61945951069792	5.44395853396204	-12.6030182739154	7.94107300582916e-06	0.000238941214550395	4.39618584592946
YER103W	1.859524935661	9.94542435831204	12.5884778853643	7.99908956410652e-06	0.000239025693671004	4.38839930495005
YNR016C	2.02171859513885	13.3374512148328	12.5845592517807	8.01480812606037e-06	0.000239025693671004	4.38629921554533
YOR134W	4.27246534302987	6.05899103241878	12.5296214387486	8.23895104514753e-06	0.000244470132468295	4.35678420042363
TA(AGC)M1	-2.64253039513781	7.70855578264919	-12.5209676180709	8.27490994484332e-06	0.000244470132468295	4.35212260559582
YLL012W	1.89350734840435	8.45959076541642	12.4983850524044	8.36959771400792e-06	0.000244470132468295	4.33994201638995
YGR049W	2.13976528671205	9.27618216138124	12.4815947992322	8.44080471603595e-06	0.000244470132468295	4.33087072393872
YPL004C	-2.08501428671754	10.8724478932768	-12.4761406234712	8.46408512459452e-06	0.000244470132468295	4.32792123772531
YBL032W	-2.10799505001904	8.98447873098348	-12.4632412354074	8.51943818190496e-06	0.000244470132468295	4.3209401834993
YAL062W	3.28413190240645	9.50661472641327	12.4591927149641	8.53689649893161e-06	0.000244470132468295	4.31874759389449
