	logFC	AveExpr	t	P.Value	adj.P.Val	B
YGL261C	7.03097985199823	10.6212458763925	49.5238280958671	1.15758009485841e-09	4.05745576409056e-06	12.064490266898
YBR301W	6.98272408684275	10.7249904032545	45.9516900200465	1.88563307168139e-09	4.05745576409056e-06	11.784078974121
YEL049W	7.38510810589127	10.4233322955677	45.4730689222882	2.01877417866397e-09	4.05745576409056e-06	11.7431986894106
YCR104W	7.91422758411959	9.76612417197323	44.2591305656717	2.40798561667095e-09	4.05745576409056e-06	11.6356689626351
YOL161C	6.88500039772001	10.0972937364918	41.9988197023199	3.38804514902054e-09	4.56708486087968e-06	11.419668089392
YPL272C	7.490096225511	8.33421728316321	40.0798996402082	4.5941794646158e-09	5.09845180767985e-06	11.2184940142555
YKL224C	6.8724660390508	9.83174896812418	38.9388946795266	5.54452506353146e-09	5.09845180767985e-06	11.090321843541
YMR325W	7.55132702677208	9.58824564388907	38.4189063707656	6.0515748459108e-09	5.09845180767985e-06	11.0296465578101
YNR076W	6.62308223225317	10.4768073915574	35.7577258186398	9.65427682423172e-09	6.25459022299718e-06	10.6949817606282
YLL025W	7.11502187947122	9.97339893796941	35.7144637781238	9.73060148614506e-09	6.25459022299718e-06	10.6891857241166
YDR453C	5.38515515539939	9.44159617066505	35.4525605987759	1.02077881977699e-08	6.25459022299718e-06	10.6538397560502
YNL277W	5.46735687974851	7.34591571757945	33.7065612796687	1.417614723807e-08	7.96226936538264e-06	10.406424772491
YOR011W	4.51574788549337	9.46154347553368	33.1642342397273	1.5752584523541e-08	8.16710920682049e-06	10.325181089391
YIR041W	8.04456181718	8.87152849021198	32.4498431135691	1.81475744960949e-08	8.44714560627582e-06	10.2147787310538
YKR053C	5.81200754723721	10.0768342507359	32.2741396046098	1.87992854739076e-08	8.44714560627582e-06	10.1870181512137
YOR009W	6.90475697594559	11.4029550939438	30.8941392468237	2.49710883714489e-08	9.63899985852738e-06	9.96023016351242
YGL121C	4.96887053751176	9.34477426498024	30.7448191780521	2.57693489303098e-08	9.63899985852738e-06	9.93472509291175
YLR183C	-5.71057519322112	5.08676644276424	-30.6823250928468	2.61121398774603e-08	9.63899985852738e-06	9.9239926426378
YLR037C	6.70081049900759	10.7531132202329	30.494879335401	2.71722547940683e-08	9.63899985852738e-06	9.8915946211881
YBR072W	4.28450119216843	11.1613339894643	29.921120118229	3.07388842354958e-08	1.03590039873621e-05	9.79046168228626
YLR461W	6.322289634113	11.0138661589939	28.8748774574642	3.87277050386411e-08	1.14156414983827e-05	9.59810665498461
YHL046C	6.45611606570215	11.3029666280445	28.7884409269662	3.94885048318645e-08	1.14156414983827e-05	9.58173839034074
YJL223C	6.69285317967719	11.068603027984	28.5726641069741	4.14640702773853e-08	1.14156414983827e-05	9.5405499436368
YAL068C	6.19955610861374	11.1421117589621	28.4980817923617	4.21732217861094e-08	1.14156414983827e-05	9.52620368423959
YDR133C	-4.22775047903159	10.2203781040921	-28.480452284839	4.23428838960784e-08	1.14156414983827e-05	9.52280427542091
YGR201C	4.16122602067546	9.58326852978809	28.1469192988598	4.57057335090938e-08	1.14615704929436e-05	9.45788759328319
YDR542W	7.27297053160161	10.3719396730614	28.1271709899439	4.59143031616434e-08	1.14615704929436e-05	9.45400766995935
YDR034W-B	4.45658740864353	10.3102740642884	27.5842592206435	5.21014819566475e-08	1.25415710138502e-05	9.34572212378897
