ID	Log2fc_(FLT)v(GC)	Stat_(FLT)v(GC)	P.value_(FLT)v(GC)	Adj.p.value_(FLT)v(GC)
AT1G01370	0.199902068	0.673208129	0.50081489	0.70367672
AT1G01380	0.997058594	4.538680319	5.66073775822295e-06	0.0001808
AT1G01390	0.90139098	4.044815459	5.23643553249117e-05	0.001040356
AT1G01400	-0.919094602	-0.606604895	0.544113151	NA
AT1G01410	-0.580917852	-0.507122656	0.612068759	NA
AT1G01420	1.007374923	3.446717414	0.000567442	0.006343841
AT1G01430	0.262561304	1.016084089	0.309589345	0.540232391
AT1G01440	-0.326348248	-1.856216277	0.063422737	0.197659742
AT1G01448	-0.37713635	-2.06909641	0.038537041	0.139630003
AT1G01450	-0.066812381	-0.089157131	0.928957034	0.968244496
AT1G01453	0.010146665	0.024981382	0.980069814	0.991675341
AT1G01460	0.051271375	0.058610695	0.953262192	NA
AT1G01470	-0.048613646	-0.193011103	0.846950273	0.924867312
AT1G01480	-0.230808711	-0.395626562	0.692380539	0.837059624
AT1G01490	-0.931256392	-3.294769125	0.000985026	0.009685809
AT1G01500	-0.339189992	-1.842199411	0.065445987	0.201882906
AT1G01510	0.005240871	0.028350871	0.977382308	0.990734866
AT1G01520	0.980623635	1.387330381	0.165341043	0.368926139
AT1G01530	-0.448129456	-0.323440809	0.746361428	NA
AT1G01540	-0.127045552	-0.653126695	0.513674604	0.714238565
AT1G01550	-0.339595088	-1.553498084	0.120304187	0.301629388
AT1G01560	0.024317301	0.029736654	0.97627708	0.990421349
AT1G01570	-0.102468359	-0.401364266	0.688151954	0.834264314
AT1G01580	-0.551612803	-1.359537482	0.173976334	0.380409718
AT1G01590	0.140363181	0.2531402	0.800159875	0.898457143
AT1G01600	-0.116262623	-0.618955036	0.53594598	0.73120136
AT1G01610	0.316870272	3.113175796	0.001850857	0.015484012
AT1G01620	-0.646145043	-1.754611504	0.079325782	0.229455965
AT1G01630	0.310883171	1.199314266	0.23040577	0.4547328
AT1G01640	-1.406165822	-4.12644133	3.68419937850833e-05	0.000798815
AT1G01650	0.069922076	0.433482583	0.664664217	0.819779218
AT1G01660	-0.478225945	-1.3919228	0.163945777	0.366960666
AT1G01670	-0.702791711	-1.160538498	0.245829629	0.472000192
AT1G01680	-0.277241732	-0.191143549	0.848413129	0.925692036
AT1G01690	0.006535076	0.02288443	0.981742461	0.992410165
AT1G01695	0.107449868	0.137065298	0.890979182	0.948079611
AT1G01700	0.29566864	0.9073699	0.364211221	0.593165843
AT1G01710	-0.25506639	-1.781445521	0.074839697	0.220342389
AT1G01715	-0.174404055	-0.325232884	0.745004822	0.867494354
AT1G01720	0.306292499	0.899825975	0.368212869	0.596927491
AT1G01725	0.20767689	0.561472911	0.574475192	0.759470698
AT1G01730	-0.019570971	-0.127621936	0.898448171	0.952316584
AT1G01740	0.362004836	1.335657981	0.181661089	0.392096295
AT1G01750	-0.309822181	-0.716539544	0.473658259	0.683686525
AT1G01760	0.00878123	0.037303131	0.970243309	0.987644074
AT1G01770	-0.917518836	-3.111024615	0.001864394	0.015568961
AT1G01780	-0.605524019	-4.006924694	6.15144654421941e-05	0.001179127
AT1G01790	0.391316162	2.646133683	0.008141763	0.046278555
AT1G01800	0.077213383	0.312383647	0.754748976	0.873202792
AT1G01810	0.057195609	0.174198235	0.861709673	0.931637933
AT1G01820	-0.512988204	-2.144030782	0.03203042	0.122847861
AT1G01830	-0.195260571	-1.189349571	0.234302136	0.458687243
AT1G01840	-0.092062784	-0.205996467	0.836793671	0.918798505
AT1G01860	0.689088633	2.810337985	0.00494895	0.032302874
AT1G01880	-0.269303602	-0.80318496	0.421867837	0.642873861
AT1G01900	-0.065313405	-0.284950865	0.775681786	0.885117227
AT1G01910	0.205482192	1.303626561	0.19236094	0.405773621
AT1G01920	0.172389999	0.78213021	0.434138054	0.652131772
AT1G01930	-0.302644855	-1.58753737	0.11239099	0.288415661
AT1G01940	0.282239065	1.197833035	0.230982024	0.455258234
AT1G01950	0.299173571	2.515663977	0.01188084	0.060804246
AT1G01960	-0.003740331	-0.028617334	0.977169787	0.990734866
AT1G01970	0.33477604	2.177068145	0.029475483	0.116287455
AT1G01980	-1.297877636	-1.876973133	0.060521776	0.191524204
AT1G01990	0.155525254	0.830424237	0.406298967	0.631095304
AT1G02000	-0.173319785	-0.831776292	0.405535228	0.630456203
AT1G02010	-0.385384527	-2.521421104	0.011688188	0.060094078
AT1G02020	-0.168486889	-0.712928112	0.475890242	0.685280994
AT1G02030	-0.31435922	-0.748363954	0.454240659	0.668389661
AT1G02040	-0.484712875	-0.582802628	0.560026175	0.748954686
AT1G02050	-0.417964627	-1.264405759	0.206084427	0.423434972
AT1G02060	-0.383348588	-1.219226647	0.222758181	0.445957239
AT1G02065	-0.498915626	-1.08897072	0.276166798	0.506864985
AT1G02070	-0.696872499	-1.061837681	0.28830938	NA
AT1G02080	-0.061209329	-0.359812218	0.718987565	0.852430602
AT1G02090	0.073346328	0.424277253	0.671363626	0.822933339
AT1G02100	-0.371370636	-2.085211649	0.037050093	0.135957478
AT1G02110	0.075353828	0.344350111	0.730583003	0.859563748
AT1G02120	-0.328259711	-2.043280667	0.041024662	0.146027963
