"SYMBOL","log2FC","pVal","pAdj","sdSF","sdGC","sTat"
"ANAC001",-0.134975722239942,0.389815135738307,0.656437391904733,85.32986,94.5207,-0.859952665137611
"ARV1",0.114116457625218,0.526810384412354,0.760772330423397,1.989008,20.290916,0.632882488013245
"NGA3",0.640040136975085,0.119055851959529,0.338602508540833,25.60401,35.34803,1.55874877768964
"ASU1",0.257828075762408,0.0644064773186027,0.234824583433422,180.82946,147.82251,1.8493556336764
"ATPPA1",-0.0430962009349517,0.639421820792313,0.830058699594542,40.37285,30.96912,-0.468507343426441
"LHY",0.574490125859304,0.00237657068395207,0.0278778644129979,76.99561,68.32826,3.03862933273767
"UMAMIT28",-0.246673092827299,0.333632219371817,0.606915756132971,29.42213,13.24835,-0.966823610346964
"PDH-E1",0.120399966377434,0.361479864393491,0.631438063885317,180.17825,242.20582,0.912548853827437
"RPP1.1",-0.194060812959483,0.204102308590002,0.463172567837797,207.6002,161.603,-1.26995037197583
"IQD18",-0.138942687689234,0.511134350656247,0.749521519551978,35.627479,11.785219,-0.657072421712448
"KCS1",-0.219873030826802,0.178552309484536,0.429517199493246,574.5832,356.1786,-1.34522585391887
"CIPK9",0.338305736285058,0.0136830372010991,0.0878386515299626,37.57677,41.24842,2.46547853826748
"GIF2",0.0163048539705712,0.885982810930103,0.955799463649117,54.74099,56.88403,0.143389201340562
"CYP78A8",-1.75687694957181,2.63030448026609e-07,3.30157944515073e-05,7.93284,16.347051,-5.14817684891641
"ATRAB-A3",-0.677794207426995,0.0299477615448857,0.145935897749085,6.357072,18.868289,-2.17078059406609
"ATFKGP",0.146655099855908,0.163054948095362,0.407612836469404,27.65874,28.06148,1.3948703220501
"ATORM1",-0.350440766140642,0.00751877627827158,0.059800202757006,32.44275,70.13394,-2.67294863179489
"BHLH013",0.30493388227813,0.00444568633151893,0.0423698449530687,94.69476,67.90861,2.84467424235285
"CNX3",-0.118113833100437,0.533429945530347,0.764951597749941,28.22405,17.07352,-0.622778717887553
"REC1",0.673184990963475,0.0335491307130244,0.156627508915895,1774.5221,3449.8877,2.12544941515201
"ACBK1",-0.383268012100092,0.0406834350412357,0.176908610174509,64.38588,24.51286,-2.04674187858913
"PYL9",0.126630037710324,0.529976110080076,0.762878774685341,69.32594,63.37644,0.62804248316792
"CENH3",0.573153342359126,0.0809783514565421,0.269443342142292,5.197799,9.747658,1.74503744332511
"ETC1",0.226418885982019,0.625204021572214,0.822118986753559,5.386234,3.482292,0.488488285117253
"UGT72B3",0.187892627870055,0.523896382561808,0.75839727248402,21.280789,6.728559,0.637350777903488
"MOAT3",-0.0481555235035988,0.7164310339161,0.875874602035056,81.20925,124.41582,-0.363232737994674
"ATLEA14",0.761091232474092,5.1591364913288e-06,0.000328673326444766,255.63542,134.5821,4.55821030091625
"ACS2",0.244163383509603,0.412922687144519,0.676080313235404,7.317763,13.712586,0.818761173253978
"AN",-0.0150564225668891,0.920679477194269,0.970875195507945,78.49985,46.44013,-0.0995778529621541
"ASG4",0.191716838381272,0.831549094896052,0.932991731416834,62.570329,37.824854,0.212715219616768
"BPS1",-0.298606648772949,0.000865003016609463,0.0139834940840884,123.1689,457.0336,-3.33111036051683
"ATMPK11",0.887020113101177,0.00521358276455637,0.04708881302045,13.285463,4.894623,2.79353226536979
"ATFRO2",-0.38342277607276,0.369414430539605,0.639323290563492,11.518472,16.298895,-0.897570765582729
"CYP86A4",-0.207771438041161,0.510031046965673,0.749133869312836,21.24925,43.36923,-0.658789350286003
"ATGPAT4",0.202866462097774,0.380754407183921,0.648657801583803,120.2259,130.2578,0.876507120442355
