"SYMBOL","log2FC","pVal","pAdj","sdSF","sdGC","sTat"
"ANAC001",0.214897997268638,0.113479184625679,0.373835512056415,145.34957,109.40177,1.58274680921843
"ARV1",-0.0308713494399375,0.845975802372748,0.950402139214932,11.394428,18.077502,-0.194255532368791
"NGA3",-0.81791231745692,0.0219566017046972,0.138569566573907,18.64231,32.28573,-2.29111779504451
"ASU1",-0.211854508469484,0.0807253356227133,0.308935286004272,94.91128,154.81584,-1.74649292370186
"ATPPA1",0.0551881053905921,0.497945135659824,0.773542157586107,68.07623,53.14923,0.67772647679928
"LHY",-0.236833029459907,0.146227239281507,0.427950041187597,40.41367,77.23327,-1.45298744732017
"UMAMIT28",-0.301330611974557,0.165743781246755,0.458410339449283,25.3026,32.24987,-1.38601022512783
"PDH-E1",-0.0806254640556187,0.481290423558731,0.762192503021613,189.13448,354.79451,-0.704228598912271
"RPP1.1",0.307799622454553,0.0204157315873234,0.132059497492815,193.0214,151.7193,2.31861849110833
"IQD18",0.203740175564518,0.274462052767972,0.590707113486912,16.258369,9.487933,1.09284456112198
"KCS1",0.418141272611573,0.00326342372177398,0.0364286818899038,229.9667,237.8942,2.94176984794315
"CIPK9",0.0286977936548208,0.806324727305354,0.933388758838124,116.935,92.59674,0.245170099248576
"GIF2",-0.169877411120306,0.0846305809803966,0.318303413789751,60.26119,50.86307,-1.72442814118964
"CYP78A8",-1.72322840126071,7.45124997730926e-09,6.34736390806631e-07,7.259837,14.517965,-5.78042421120066
"ATRAB-A3",-0.193505712439167,0.502073542410504,0.775880815189182,6.566434,4.695106,-0.671230749847097
"ATFKGP",0.108778452573041,0.238492694938008,0.552193381346296,40.58347,45.11988,1.17876266469594
"ATORM1",0.180949173861524,0.115253012232937,0.377338828977087,13.5648,65.66176,1.57501487008975
"BHLH013",0.137843427782672,0.142220343588792,0.422200493476312,56.27467,58.16736,1.46757264301328
"CYP703",1.1366034933523,0.349915569478289,0.663588699159713,2.1518607,0.7085091,0.934753071297087
"CNX3",-0.0119238737783736,0.942559483849924,0.982542371715236,11.86207,11.767,-0.0720533087017859
"REC1",-0.375220177709976,0.171406651305615,0.466709464403286,754.6787,1280.0759,-1.36769791996385
"ACBK1",-0.15763965944595,0.321987866251834,0.638154514117302,35.38553,66.5263,-0.990381127802264
"PYL9",0.284651835855283,0.102751088024709,0.355059489462805,92.44046,72.40431,1.63166020354126
"CENH3",-0.496307308299027,0.0921362034226259,0.334387541775772,8.051151,6.388343,-1.68423530138994
"ETC1",0.0178076644890149,0.961264356336378,0.988584587045862,3.340876,5.000989,0.0485670160171981
"UGT72B3",-0.38128318597094,0.136782490099575,0.413950154783933,23.427269,5.64992,-1.48788020049649
"MOAT3",-0.27577241382352,0.0153606374811368,0.108769814550729,80.38134,95.08083,-2.42376273652622
"ATPIPK11",0.826166864229632,0.430155819603871,0.724932625997552,4.49563,3.366066,0.788925040011576
"ATLEA14",1.49446135481441,2.0941854505361e-25,4.23095267189976e-22,765.75023,103.68764,10.4160748173584
"ACS2",1.34651382121922,3.42111149823343e-07,1.83498732661883e-05,13.450168,21.06892,5.09863519450216
"AN",0.0239167610876142,0.855093535498405,0.953760156045607,54.91817,112.62191,0.182623383518999
"ASG4",0.869988144998641,0.292254960473635,0.608452491345883,5.882561,3.702157,1.05318773087615
"BPS1",0.127024704979039,0.101927687937717,0.353403341174011,397.923,463.2617,1.63557919319908
"ATMPK11",1.1982876989446,2.1088543226966e-06,9.21208363954171e-05,24.363764,18.845461,4.74270290481485
"ATFRO2",-0.567393292860346,0.168724404600078,0.462784756773875,4.399962,5.427971,-1.37631411560093
"ATFRO1",3.26122285725408,0.00783286568477596,0.0682357152934633,2.9255402,0.5633219,2.65919051359195
"CYP86A4",0.312635560381523,0.258790186516792,0.576260505506722,28.87766,34.34408,1.1292552171571
"ATGPAT4",-0.354739368395577,0.0758537642096104,0.297572598624238,295.3883,113.6818,-1.77526728667102
"PIP1;3",0.493947866945418,0.0354022847342951,0.187769195164789,7810.411,2389.601,2.10372680622477
"ATSPPL4",0.107866080320796,0.465275681820813,0.75250338924239,198.68855,110.65222,0.730187336946133
"ATPUB54",-1.41845192018986,0.14672052691461,0.428505186121238,2.170954,8.5058725,-1.45121311183654
"ATPRD3",-0.32530548672243,0.10938113044776,0.367070064838541,13.622036,17.499567,-1.6009809865128
"TRM33",-0.4940551666908,0.466089292528673,0.753174844905163,4.482787,7.545005,-0.728856751114363
"ATROPGEF2",-0.190139944771594,0.498309795214086,0.773582623594474,7.222496,10.538204,-0.677151564581885
"ANAC002",1.41568873980851,6.63209465546219e-09,5.74244652953662e-07,3059.6994,350.547,5.79998476037557
"BSK4",0.792657167136015,0.020136228986135,0.130868606105497,66.19127,83.80035,2.32379975312335
"ADF11",1.03192880157395,0.00406011097076168,0.042852995374465,21.09872,12.00279,2.8734533013165
"ATTAD1",0.198773917565572,0.315668727340264,0.632380815207186,15.22699,12.69656,1.00339829310819
"PLIM2B",-0.376824290453029,0.00258191844514582,0.0307345891804868,53.67222,37.71842,-3.01357190984638
"ATKEA1",-0.0230293742318998,0.929697792600101,0.978173039664388,137.64263,123.60696,-0.088225069279405
"PEX11C",0.161841167313076,0.157860745360497,0.446213817246109,179.95018,155.17117,1.41230306148969
"PFC1",0.188369954594954,0.271537276188502,0.587944440697432,13.92137,14.55837,1.0995292652215
"ATGEN1",0.585530138827302,0.0393524386628024,0.200348702843549,8.205846,4.814721,2.06048248412789
"ATSBT1.1",0.0173100387600809,0.94141487958625,0.982163543688284,11.63429,15.894814,0.0734916611303053
"ATGET3A",0.0522217608587355,0.545867892235722,0.802791700294986,58.61677,35.22584,0.603963525711023
"ARK2",-0.0196985571783289,0.81406754943913,0.936432609062549,33.48759,38.72538,-0.235181905566909
"BIG3",0.031846405727282,0.633780346018202,0.852568235596447,523.3564,203.5458,0.476412759801614
"ATBBE1",0.932802579111757,0.168751032787446,0.462805434264575,5.076078,2.086456,1.37622807470251
"GAE2",0.323445508251042,0.0617191191917988,0.263926898249964,180.93966,55.32926,1.86830823680501
"SEC1A",-0.363863640244893,0.0311219441147527,0.174536297274593,19.21967,23.94508,-2.1555100361878
"LAP6",-0.0426933168132853,0.760228536175427,0.916052715260291,11.66852,18.9583,-0.30518069303632
"SPL8",1.78717305745936,0.0186888079156028,0.124876410188344,3.3387541,1.2269741,2.35168073686594
"NOT1",0.079089796535979,0.418394493422327,0.71809255689594,721.2463,481.4454,0.809209774707237
"ATCSN7",0.227226642048653,0.100248986955733,0.35015652496107,38.9265,45.67566,1.64364773845983
"LCMT1",0.0595858224428194,0.559590589602187,0.811703582813751,84.58305,87.3588,0.58344972859753
"VAD1",-0.0105235219826907,0.924046408033627,0.97635786120729,137.86661,67.07672,-0.0953379401129418
"ARA-5",-0.0731871204938899,0.586484968408613,0.828114358825387,124.21856,117.7185,-0.543936793885454
"HAP1",0.180706435293008,0.131787285075729,0.405823820573603,303.31696,121.54357,1.50709118849267
