Tag,Tortuosity,Total Length,Tip Angle,Total Primary Angle,Emergence Angle
3%_Col-0_c_root:8.1,1,32,0,0,0
3%_Col-0_c_root:9.1,1.01,32.96,31.26,31.26,30.57
3%_Col-0_d_root:1.1,1,31.06,3.69,3.69,3.69
3%_Col-0_d_root:10.1,1.02,32.68,32.2,32.2,30.91
3%_Col-0_d_root:2.1,1,25.52,11.31,11.31,11.31
3%_Col-0_d_root:3.1,1.03,30.45,-57.38,-57.38,-57.58
3%_Col-0_d_root:4.1,1.01,29.57,-7.85,-7.85,-7.85
3%_Col-0_d_root:5.1,1,21.23,-8.13,-8.13,-8.13
3%_Col-0_d_root:3.1,1.05,28.87,-19.09,-19.09,-19.09
3%_Col-0_d_root:7.1,1,35.71,11.31,11.31,10.89
3%_Col-0_d_root:8.1,1,25.2,-6.84,-6.84,-6.84
3%_Col-0_d_root:9.1,1,26.16,4.4,4.4,4.4
3%_Col-0_e_root:1.1,1,36.25,4.76,4.76,5.89
3%_Col-0_e_root:10.1,1,44.05,-2.6,-2.6,-2.6
3%_Col-0_e_root:2.1,1,37.35,7.7,7.7,7.21
3%_Col-0_e_root:3.1,1,36.14,4.76,4.76,5.13
3%_Col-0_e_root:4.1,1,42,0,0,0
3%_Col-0_e_root:5.1,1.09,29.02,12.99,12.99,12.99
3%_Col-0_e_root:3.1,1,36.14,4.76,4.76,4.4
3%_Col-0_e_root:7.1,1,31.41,9.16,9.16,9.24
3%_Col-0_e_root:8.1,1,33.24,-6.91,-6.91,-6.89
3%_Col-0_e_root:9.1,1,31.02,20.77,20.77,20.73
3%_Cvi-0_a_root:1.1,1.01,31.32,-3.69,-3.69,-4.05
3%_Cvi-0_a_root:2.1,1,32.16,-5.36,-5.36,-5.5
3%_Cvi-0_a_root:3.1,1,29.44,9.78,9.78,9.78
3%_Cvi-0_a_root:4.1,1,28.19,6.12,6.12,6.12
3%_Cvi-0_a_root:5.1,1,25.3,-18.43,-18.43,-18.43
3%_Cvi-0_a_root:3.1,1,19,0,0,0
3%_Cvi-0_a_root:7.1,1,25.39,-9.09,-9.09,-9.09
3%_Cvi-0_a_root:8.1,1.01,26.05,13.5,13.5,13.5
3%_Cvi-0_a_root:9.1,1,31.53,-9.16,-9.16,-9.46
3%_Cvi-0_b_root:1.1,1,29.07,0,0,0
3%_Cvi-0_b_root:2.1,1,25.52,11.31,11.31,11.31
3%_Cvi-0_b_root:3.1,1.01,20.1,0,0,0
3%_Cvi-0_b_root:4.1,1,21.95,30.07,30.07,30.07
3%_Cvi-0_b_root:5.1,1.02,23.36,0,0,0
3%_Cvi-0_b_root:3.1,1.01,26.2,-2.2,-2.2,-2.2
3%_Cvi-0_b_root:7.1,1.01,30.3,5.71,5.71,5.77
3%_Cvi-0_b_root:8.1,1,18.44,12.53,12.53,12.53
3%_Cvi-0_b_root:9.1,1,28.25,22.93,22.93,22.93
3%_Cvi-0_c_root:1.1,1,25.04,-2.29,-2.29,-2.29
3%_Cvi-0_c_root:10.1,1,28.07,-4.09,-4.09,-4.09
3%_Cvi-0_c_root:10.2,1,28.07,-4.09,-4.09,-4.09
3%_Cvi-0_c_root:2.1,1.01,26.21,2.2,2.2,2.2
3%_Cvi-0_c_root:3.1,1.03,27.08,-29.48,-29.48,-29.48
3%_Cvi-0_c_root:4.1,1,29.03,-1.97,-1.97,-1.97
3%_Cvi-0_c_root:5.1,1.01,39.92,33.69,33.69,31.55
3%_Cvi-0_c_root:3.1,1.02,28.66,0,0,0
3%_Cvi-0_c_root:7.1,1,31.65,-18.43,-18.43,-18.59
3%_Cvi-0_c_root:8.1,1,34.2,20.56,20.56,20.89
3%_Cvi-0_c_root:9.1,1,23.55,12.26,12.26,12.26
3%_Cvi-0_d_root:1.1,1.01,24.7,11.77,11.77,11.77
3%_Cvi-0_d_root:2.1,1.03,21.14,-43.03,-43.03,-43.03
3%_Cvi-0_d_root:3.1,1,24.78,14.04,14.04,14.04
3%_Cvi-0_d_root:4.1,1,28.64,-12.09,-12.09,-12.09
3%_Cvi-0_d_root:5.1,1.01,20.83,-14.04,-14.04,-14.04
3%_Cvi-0_d_root:3.1,1.01,20.41,32.91,32.91,32.91
3%_Cvi-0_e_root:1.1,1.01,29.34,-3.95,-3.95,-3.95
3%_Cvi-0_e_root:2.1,1.01,29.6,9.78,9.78,9.78
3%_Cvi-0_e_root:3.1,1,31.64,34.7,34.7,34.56
3%_Cvi-0_e_root:4.1,1,28.64,12.09,12.09,12.09
3%_Cvi-0_e_root:5.1,1.05,25.98,-14.04,-14.04,-14.04
3%_Cvi-0_e_root:3.1,1.01,28.57,-8.13,-8.13,-8.13
3%_Cvi-0_e_root:7.1,1,25.04,-2.29,-2.29,-2.29
3%_Cvi-0_e_root:8.1,1,29.19,30.96,30.96,30.96
3%_Cvi-0_e_root:9.1,1,32.08,20.14,20.14,19.76
3%_Ler-0_a_root:1.1,1.01,22.2,5.19,5.19,5.19
3%_Ler-0_a_root:2.1,1,27.02,21.8,21.8,21.8
3%_Ler-0_a_root:3.1,1.01,20.77,14.04,14.04,14.04
3%_Ler-0_a_root:4.1,1,22.05,2.6,2.6,2.6
3%_Ler-0_a_root:5.1,1.02,23.25,-23.2,-23.2,-23.2
3%_Ler-0_a_root:3.1,1,21.05,2.73,2.73,2.73
3%_Ler-0_a_root:7.1,1.04,28.86,40.6,40.6,40.6
3%_Ler-0_a_root:8.1,1,20.25,-20.22,-20.22,-20.22
3%_Ler-0_a_root:9.1,1,16.03,-3.58,-3.58,-3.58
3%_Ler-0_b_root:1.1,1.02,29.64,0,0,0
3%_Ler-0_b_root:10.1,1.06,24.51,-4.97,-4.97,-4.97
3%_Ler-0_b_root:11.1,1.04,35.32,13.63,13.63,17.14
3%_Ler-0_b_root:2.1,1,31.63,-10.95,-10.95,-11.15
3%_Ler-0_b_root:3.1,1,31.03,-1.85,-1.85,-1.77
3%_Ler-0_b_root:4.1,1,26.93,-21.8,-21.8,-21.8
3%_Ler-0_b_root:5.1,1,26.93,15.07,15.07,15.07
3%_Ler-0_b_root:3.1,1,18.97,18.43,18.43,18.43
3%_Ler-0_b_root:7.1,1.03,25.07,9.46,9.46,9.46
3%_Ler-0_b_root:8.1,1.03,25.07,9.46,9.46,9.46
3%_Ler-0_b_root:9.1,1.01,27.65,-23.75,-23.75,-23.75
3%_Ler-0_c_root:1.1,1.02,23.77,-7.43,-7.43,-7.43
3%_Ler-0_c_root:10.1,1,29.14,3.95,3.95,3.95
3%_Ler-0_c_root:2.1,1.01,27.19,2.12,2.12,2.12
3%_Ler-0_c_root:3.1,1,25.24,56.31,56.31,56.31
3%_Ler-0_c_root:4.1,1.02,26.69,17.74,17.74,17.74
3%_Ler-0_c_root:5.1,1.01,27.39,-4.24,-4.24,-4.24
3%_Ler-0_c_root:3.1,1,29.73,-19.65,-19.65,-19.65
3%_Ler-0_c_root:7.1,1.02,22.46,5.19,5.19,5.19
3%_Ler-0_c_root:8.1,1,32.29,16.19,16.19,16.3
3%_Ler-0_c_root:8.2,1,32.29,16.19,16.19,16.3
3%_Ler-0_c_root:9.1,1.01,40.43,-5.77,-5.71,-3.29
3%_Ler-0_d_root:1.1,1.04,28.15,-38.99,-38.99,-38.99
3%_Ler-0_d_root:2.1,1,29.35,7.85,7.85,7.85
3%_Ler-0_d_root:3.1,1.02,28.76,22.93,22.93,22.93
3%_Ler-0_d_root:4.1,1,24.21,-7.13,-7.13,-7.13
3%_Ler-0_d_root:5.1,1.01,34.47,37.87,37.87,36.68
3%_Ler-0_d_root:3.1,1.01,22.23,-2.6,-2.6,-2.6
3%_Ler-0_d_root:7.1,1.01,28.57,8.13,8.13,8.13
3%_Ler-0_d_root:8.1,1.01,33.79,38.93,38.93,40.05
3%_Ler-0_d_root:9.1,1,27.92,21.04,21.04,21.04
3%_Ler-0_e_root:1.1,1,30.43,-9.46,-9.46,-9.49
3%_Ler-0_e_root:2.1,1,24.04,2.39,2.39,2.39
3%_Ler-0_e_root:3.1,1.01,24.22,-2.39,-2.39,-2.39
3%_Ler-0_e_root:4.1,1,31.06,-3.69,-3.69,-3.69
3%_Ler-0_e_root:4.2,1,31.07,0,0,-0.15
3%_Ler-0_e_root:5.1,1,28.88,-14.04,-14.04,-14.04
3%_Ler-0_e_root:3.1,1,27.04,2.12,2.12,2.12
3%_Ler-0_e_root:7.1,1.02,29.88,9.78,9.78,9.78
3%_Ler-0_e_root:8.1,1.01,25.17,-16.26,-16.26,-16.26
3%_Ler-0_e_root:9.1,1,29.61,-11.69,-11.69,-11.69
3%_WS-2_a_root:1.1,1,18.25,-9.46,-9.46,-9.46
3%_WS-2_a_root:2.1,1,24.08,4.76,4.76,4.76
3%_WS-2_a_root:3.1,1,19.24,-8.97,-8.97,-8.97
3%_WS-2_a_root:4.1,1.01,21.41,8.13,8.13,8.13
3%_WS-2_a_root:5.1,1,17.03,-3.37,-3.37,-3.37
3%_WS-2_a_root:3.1,1,22.05,2.6,2.6,2.6
3%_WS-2_a_root:7.1,1,28.74,60.75,60.75,60.75
3%_WS-2_b_root:1.1,1,22.18,-5.19,-5.19,-5.19
3%_WS-2_b_root:2.1,1.01,26.39,-4.4,-4.4,-4.4
3%_WS-2_b_root:3.1,1,29.45,-9.78,-9.78,-9.78
3%_WS-2_b_root:4.1,1.03,26.3,30.58,30.58,30.58
3%_WS-2_b_root:5.1,1.01,24.75,26.57,26.57,26.57
3%_WS-2_b_root:3.1,1,35.9,12.88,12.88,12.79
3%_WS-2_c_root:1.1,1,23.55,12.26,12.26,12.26
3%_WS-2_c_root:2.1,1,27.04,-2.12,-2.12,-2.12
3%_WS-2_c_root:3.1,1,23.21,7.43,7.43,7.43
3%_WS-2_c_root:4.1,1,22.05,2.6,2.6,2.6
3%_WS-2_c_root:5.1,1.01,20.2,-5.71,-5.71,-5.71
3%_WS-2_c_root:5.2,1,22.18,-5.19,-5.19,-5.19
3%_WS-2_c_root:3.1,1.01,23.23,-2.49,-2.49,-2.49
3%_WS-2_c_root:7.1,1,30.43,-9.46,-9.46,-9.49
3%_WS-2_c_root:8.1,1,24.35,19.18,19.18,19.18
3%_WS-2_c_root:9.1,1,29.07,-3.95,-3.95,-3.95
3%_WS-2_d_root:1.1,1.03,22.73,18.43,18.43,18.43
3%_WS-2_d_root:2.1,1.01,20.2,-5.71,-5.71,-5.71
3%_WS-2_d_root:3.1,1,21.62,-21.8,-21.8,-21.8
3%_WS-2_d_root:4.1,1.05,23.55,-26.57,-26.57,-26.57
3%_WS-2_d_root:5.1,1,21.1,0,0,0
3%_WS-2_d_root:3.1,1.01,28.18,2.05,2.05,2.05
3%_WS-2_e_root:1.1,1,28.15,-4.09,-4.09,-4.09
3%_WS-2_e_root:2.1,1,27.72,12.53,12.53,12.53
3%_WS-2_e_root:3.1,1,29.04,1.97,1.97,1.97
3%_WS-2_e_root:4.1,1.01,35.29,3.27,3.27,4.6
3%_WS-2_e_root:5.1,1,31.8,-12.72,-12.72,-12.58
3%_WS-2_e_root:3.1,1.01,28.18,-2.05,-2.05,-2.05
3%_WS-2_e_root:7.1,1,24.17,4.76,4.76,4.76
3%_WS-2_e_root:8.1,1,27.86,-21.04,-21.04,-21.04
