Tag,Tortuosity,Total Length,Tip Angle,Total Primary Angle,Emergence Angle
3%_Col-0_a_root:1.1,1,35.35,-25.11,-25.11,-25.41
3%_Col-0_a_root:2.1,1,22.05,-2.6,-2.6,-2.6
3%_Col-0_a_root:3.1,1,29.79,19.65,19.65,19.65
3%_Col-0_a_root:3.2,1.02,29.61,15.95,15.95,15.95
3%_Col-0_a_root:4.1,1,26.08,-4.4,-4.4,-4.4
3%_Col-0_a_root:5.1,1.02,26.88,29.48,29.48,29.48
3%_Col-0_a_root:3.1,1,25.08,0,0,0
3%_Col-0_a_root:7.1,1.05,33.64,-3.58,-3.58,-6.02
3%_Col-0_a_root:8.1,1,24,0,0,0
3%_Col-0_a_root:9.1,1,32.62,-10.62,-10.62,-10.96
3%_Col-0_b_root:1.1,1,20.67,-14.04,-14.04,-14.04
3%_Col-0_b_root:2.1,1.01,26.55,-24.62,-24.62,-24.62
3%_Col-0_b_root:3.1,1,24.82,-14.04,-14.04,-14.04
3%_Col-0_b_root:4.1,1.02,25.66,-6.84,-6.84,-6.84
3%_Col-0_b_root:5.1,1.04,28.51,33.11,33.11,33.11
3%_Col-0_b_root:3.1,1.01,25.4,-4.57,-4.57,-4.57
3%_Col-0_b_root:7.1,1.01,21.2,-5.44,-5.44,-5.44
3%_Col-0_b_root:8.1,1,19.24,-8.97,-8.97,-8.97
3%_Col-0_b_root:9.1,1,39.13,4.4,4.4,4.88
3%_Col-0_c_root:1.1,1.01,29.29,0,0,0
3%_Col-0_c_root:10.1,1.01,27.19,-2.12,-2.12,-2.12
3%_Col-0_c_root:2.1,1,43.39,-6.29,-6.63,-8.58
3%_Col-0_c_root:3.1,1,36.24,-14.42,-14.42,-15.46
3%_Col-0_c_root:4.1,1,31.16,-5.53,-5.53,-5.6
3%_Col-0_c_root:5.1,1,31.03,-1.85,-1.85,-1.77
3%_Col-0_c_root:3.1,1.02,30.61,15.42,15.42,15.67
3%_Col-0_c_root:7.1,1.03,30.63,-11.69,-11.69,-12.05
